Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16628416k(9554324k free), swap 19905216k(12933048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=629145600 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.592: [GC (Allocation Failure) 0.592: [DefNew: 960K->64K(960K), 0.0013597 secs] 35823K->35342K(524224K), 0.0014167 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.594: [GC (Allocation Failure) 0.594: [DefNew: 960K->63K(960K), 0.0010334 secs] 36239K->35574K(524224K), 0.0010754 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.598: [GC (Allocation Failure) 0.598: [DefNew: 959K->63K(960K), 0.0014020 secs] 36470K->35900K(524224K), 0.0014488 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.601: [GC (Allocation Failure) 0.601: [DefNew: 959K->64K(960K), 0.0012211 secs] 36797K->36149K(524224K), 0.0012732 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.604: [GC (Allocation Failure) 0.604: [DefNew: 960K->63K(960K), 0.0012785 secs] 37046K->36574K(524224K), 0.0013223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.607: [GC (Allocation Failure) 0.607: [DefNew: 959K->63K(960K), 0.0017123 secs] 37471K->36958K(524224K), 0.0017671 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.610: [GC (Allocation Failure) 0.610: [DefNew: 959K->63K(960K), 0.0015420 secs] 37854K->37349K(524224K), 0.0015889 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.614: [GC (Allocation Failure) 0.614: [DefNew: 959K->64K(960K), 0.0012966 secs] 38245K->37598K(524224K), 0.0013351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.616: [GC (Allocation Failure) 0.616: [DefNew: 960K->64K(960K), 0.0009704 secs] 38495K->37836K(524224K), 0.0010078 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.619: [GC (Allocation Failure) 0.619: [DefNew: 960K->63K(960K), 0.0009979 secs] 38733K->38108K(524224K), 0.0010353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
